timestamp,seq,bytes,rtt_ms,loss_rate
0.119,0,402970,310.81,0.00
0.620,5,403018,67.75,66.67
0.721,6,403530,55.71,57.14
0.821,7,402906,51.65,50.00
0.921,8,403658,53.37,44.44
1.021,9,403450,53.10,40.00
1.122,10,403930,53.40,36.36
1.222,11,403322,19.01,33.33
1.323,12,402778,19.37,30.77
1.423,13,403306,19.00,28.57
1.524,14,402618,11.17,26.67
1.625,15,402298,10.56,25.00
1.726,16,402650,11.73,23.53
1.826,17,402746,10.93,22.22
1.927,18,403082,12.19,21.05
2.027,19,402554,10.17,20.00
2.128,20,401770,13.67,19.05
2.229,21,401722,15.88,18.18
2.329,22,402442,14.91,17.39
2.430,23,401786,12.59,16.67
2.530,24,403690,14.14,16.00
2.631,25,403050,11.77,15.38
2.731,26,402490,12.65,14.81
2.833,27,402954,15.30,14.29
2.933,28,403098,13.28,13.79
3.034,29,402762,12.90,13.33
3.135,30,401722,16.51,12.90
3.236,31,403226,394.68,12.50
3.336,32,402490,294.43,12.12
3.437,33,401466,193.50,11.76
3.537,34,402330,93.37,11.43
3.638,35,401210,19.32,11.11
3.738,36,401770,30.96,10.81
3.838,37,402378,13.63,10.53
3.939,38,401754,12.53,10.26
4.039,39,401866,15.19,10.00
4.140,40,401946,15.96,9.76
4.240,41,402378,14.40,9.52
4.341,42,402554,14.66,9.30
4.442,43,402906,18.35,9.09
4.544,44,403162,20.58,8.89
4.643,45,401786,21.16,8.70
4.744,46,401802,22.57,8.51
4.844,47,402554,16.48,8.33
4.945,48,402218,15.63,8.16
5.046,49,401962,14.80,8.00
5.146,50,402586,13.35,7.84
5.246,51,402122,18.19,7.69
5.348,52,402154,15.19,7.55
5.447,53,402874,13.26,7.41
5.548,54,403114,14.32,7.27
5.648,55,402906,13.92,7.14
5.749,56,402058,15.34,7.02
5.850,57,402218,12.53,6.90
5.950,58,402522,15.64,6.78
6.051,59,402810,14.91,6.67
6.151,60,401514,17.55,6.56
6.252,61,401898,17.02,6.45
6.352,62,401834,17.97,6.35
6.453,63,401578,13.60,6.25
6.553,64,402058,20.12,6.15
6.654,65,402122,22.20,6.06
6.754,66,401866,26.04,5.97
6.855,67,401578,25.88,5.88
6.955,68,402858,15.99,5.80
7.056,69,402362,15.55,5.71
7.156,70,402938,16.28,5.63
7.257,71,402522,169.85,5.56
7.357,72,402138,69.45,5.48
7.458,73,402570,19.85,5.41
7.558,74,401354,14.29,5.33
7.660,75,401562,16.73,5.26
7.759,76,401690,12.27,5.19
7.860,77,401898,13.23,5.13
7.960,78,402698,14.56,5.06
8.061,79,402634,14.38,5.00
8.161,80,402538,15.24,4.94
8.262,81,400874,14.65,4.88
8.362,82,401450,136.18,4.82
8.463,83,400602,67.85,4.76
8.563,84,401866,35.19,4.71
8.664,85,402250,34.04,4.65
8.764,86,402202,34.29,4.60
8.865,87,401610,34.69,4.55
8.965,88,402250,35.58,4.49
9.066,89,401802,18.86,4.44
9.166,90,402202,19.12,4.40
9.267,91,402618,20.86,4.35
9.367,92,401738,21.01,4.30
9.468,93,402426,26.24,4.26
9.569,94,402506,19.72,4.21
9.669,95,402826,20.50,4.17
9.770,96,402474,21.11,4.12
9.870,97,402602,22.24,4.08
9.971,98,402074,22.48,4.04
10.071,99,403418,22.32,4.00
10.172,100,402954,23.34,3.96
10.272,101,402714,23.78,3.92
10.373,102,400906,23.29,3.88
10.473,103,401562,23.95,3.85
10.574,104,402410,22.96,3.81
10.674,105,402746,30.13,3.77
10.775,106,402346,29.58,3.74
10.875,107,402506,27.87,3.70
10.976,108,402122,28.63,3.67
11.077,109,403050,27.74,3.64
11.178,110,403626,20.26,3.60
11.278,111,402826,20.40,3.57
11.378,112,402986,20.17,3.54
11.479,113,402922,25.87,3.51
11.580,114,403626,26.38,3.48
11.681,115,403114,23.99,3.45
11.781,116,403210,22.46,3.42
11.881,117,403146,20.69,3.39
11.982,118,401962,19.75,3.36
12.082,119,402666,25.33,3.33
12.183,120,402522,22.03,3.31
12.283,121,402922,17.70,3.28
12.384,122,402522,16.84,3.25
12.484,123,402810,16.70,3.23
12.584,124,402842,18.72,3.20
12.685,125,403466,17.73,3.17
12.785,126,403258,17.57,3.15
12.886,127,402810,16.76,3.12
12.986,128,402618,16.29,3.10
13.087,129,403146,16.81,3.08
13.187,130,402810,17.59,3.05
13.288,131,402874,15.32,3.03
13.388,132,403290,17.03,3.01
13.488,133,402362,16.75,2.99
13.589,134,402858,15.62,2.96
13.689,135,402506,16.59,2.94
13.790,136,402362,15.63,2.92
13.890,137,403482,15.71,2.90
13.991,138,402602,15.56,2.88
14.091,139,402554,15.24,2.86
14.192,140,402266,15.45,2.84
14.292,141,402586,14.24,2.82
14.393,142,402922,15.73,2.80
14.493,143,402570,16.67,2.78
14.594,144,402298,14.70,2.76
14.694,145,403050,14.45,2.74
14.795,146,402954,16.25,2.72
14.897,147,403834,17.37,2.70
14.997,148,403802,17.43,2.68
15.097,149,403402,13.99,2.67
15.198,150,403722,13.49,2.65
15.298,151,403594,14.46,2.63
15.400,152,403834,17.95,2.61
15.500,153,403258,17.59,2.60
15.602,154,403274,18.79,2.58
15.702,155,402954,121.12,2.56
15.803,156,403146,19.96,2.55
15.904,157,403642,16.47,2.53
16.004,158,402730,14.55,2.52
16.104,159,401994,14.58,2.50
16.205,160,402810,26.83,2.48
